StartTime,Dur,Proto,SrcAddr,DstAddr,State,TotPkts,TotBytes,SrcBytes
2025/05/18 02:21:20.426738,45.003674984,tcp,127.0.0.1,127.0.0.1,CON,8,782,469
2025/05/18 02:21:20.688312,45.005084991,tcp,127.0.0.1,127.0.0.1,CON,4,201,120
2025/05/18 02:21:20.433298,59.41960597,tcp,127.0.0.1,127.0.0.1,CON,927,77139,46283
2025/05/18 02:21:21.745189,0.001860142,tcp,127.0.0.1,127.0.0.1,CON,7,524,314
2025/05/18 02:21:21.747121,58.104359865,tcp,127.0.0.1,127.0.0.1,CON,295,13251,7950
2025/05/18 02:21:20.426846,45.0035851,tcp,127.0.0.1,127.0.0.1,CON,7,1477,886
2025/05/18 02:21:20.688411,45.004997969,tcp,127.0.0.1,127.0.0.1,CON,3,157,94
2025/05/18 02:21:20.433357,59.419507981,tcp,127.0.0.1,127.0.0.1,CON,926,169848,101908
2025/05/18 02:21:21.745250,0.001767159,tcp,127.0.0.1,127.0.0.1,CON,6,856,513
2025/05/18 02:21:21.747173,58.104281902,tcp,127.0.0.1,127.0.0.1,CON,294,198134,118880
